index,x,y
0,129.0,-272.0
1,130.0,-273.0
2,131.0,-274.0
3,132.0,-274.0
4,133.0,-275.0
5,134.0,-275.0
6,135.0,-275.0
7,136.0,-276.0
8,137.0,-276.0
9,138.0,-276.0
10,139.0,-276.0
11,140.0,-276.0
12,141.0,-277.0
13,142.0,-278.0
14,143.0,-278.0
15,144.0,-278.0
16,145.0,-278.0
17,146.0,-278.0
18,147.0,-278.0
19,148.0,-278.0
20,149.0,-278.0
21,150.0,-278.0
22,151.0,-278.0
23,152.0,-278.0
24,153.0,-278.0
25,154.0,-278.0
26,155.0,-278.0
27,156.0,-278.0
28,157.0,-278.0
29,158.0,-278.0
30,159.0,-278.0
31,160.0,-277.0
32,160.0,-276.0
33,160.0,-275.0
34,160.0,-274.0
35,160.0,-273.0
36,160.0,-272.0
37,160.0,-271.0
38,160.0,-270.0
39,160.0,-269.0
40,160.0,-268.0
41,160.0,-267.0
42,160.0,-266.0
43,160.0,-265.0
44,160.0,-264.0
45,160.0,-263.0
46,160.0,-262.0
47,160.0,-261.0
48,160.0,-260.0
49,160.0,-259.0
50,160.0,-258.0
51,160.0,-257.0
52,160.0,-256.0
53,160.0,-255.0
54,160.0,-254.0
55,160.0,-253.0
56,160.0,-252.0
57,160.0,-251.0
58,160.0,-250.0
59,160.0,-249.0
60,160.0,-248.0
61,160.0,-247.0
62,160.0,-246.0
63,160.0,-245.0
64,160.0,-244.0
65,160.0,-243.0
66,160.0,-242.0
67,160.0,-241.0
68,160.0,-240.0
69,160.0,-239.0
70,160.0,-238.0
71,160.0,-237.0
72,160.0,-236.0
73,160.0,-235.0
74,160.0,-234.0
75,160.0,-233.0
76,160.0,-232.0
77,160.0,-231.0
78,160.0,-230.0
79,160.0,-229.0
80,160.0,-228.0
81,160.0,-227.0
82,160.0,-226.0
83,160.0,-225.0
84,160.0,-224.0
85,160.0,-223.0
86,160.0,-222.0
87,160.0,-221.0
88,160.0,-220.0
89,160.0,-219.0
90,160.0,-218.0
91,160.0,-217.0
92,160.0,-216.0
93,160.0,-215.0
94,160.0,-214.0
95,160.0,-213.0
96,160.0,-212.0
97,160.0,-211.0
98,160.0,-210.0
99,160.0,-209.0
100,160.0,-208.0
101,160.0,-207.0
102,160.0,-206.0
103,160.0,-205.0
104,160.0,-204.0
105,160.0,-203.0
106,160.0,-202.0
107,160.0,-201.0
108,160.0,-200.0
109,160.0,-199.0
110,160.0,-198.0
111,160.0,-197.0
112,160.0,-196.0
113,160.0,-195.0
114,160.0,-194.0
115,160.0,-193.0
116,160.0,-192.0
117,160.0,-191.0
118,160.0,-190.0
119,160.0,-189.0
120,160.0,-188.0
121,160.0,-187.0
122,160.0,-186.0
123,160.0,-185.0
124,160.0,-184.0
125,160.0,-183.0
126,160.0,-182.0
127,160.0,-181.0
128,160.0,-180.0
129,160.0,-179.0
130,160.0,-178.0
131,160.0,-177.0
132,160.0,-176.0
133,160.0,-175.0
134,160.0,-174.0
135,160.0,-173.0
136,160.0,-172.0
137,160.0,-171.0
138,160.0,-170.0
139,160.0,-169.0
140,160.0,-168.0
141,160.0,-167.0
142,160.0,-166.0
143,160.0,-165.0
144,160.0,-164.0
145,160.0,-163.0
146,160.0,-162.0
147,160.0,-161.0
148,160.0,-160.0
149,160.0,-159.0
150,160.0,-158.0
151,160.0,-157.0
152,160.0,-156.0
153,160.0,-155.0
154,160.0,-154.0
155,160.0,-153.0
156,160.0,-152.0
157,160.0,-151.0
158,160.0,-150.0
159,160.0,-149.0
160,160.0,-148.0
161,160.0,-147.0
162,160.0,-146.0
163,160.0,-145.0
164,160.0,-144.0
165,160.0,-143.0
166,161.0,-142.0
167,160.0,-143.0
168,160.0,-142.0
169,159.0,-141.0
170,158.0,-141.0
171,157.0,-141.0
172,156.0,-141.0
173,155.0,-141.0
174,154.0,-141.0
175,153.0,-141.0
176,152.0,-141.0
177,151.0,-141.0
178,150.0,-141.0
179,149.0,-141.0
180,148.0,-141.0
181,147.0,-141.0
182,146.0,-141.0
183,145.0,-141.0
184,144.0,-141.0
185,145.0,-141.0
186,146.0,-141.0
187,147.0,-141.0
188,148.0,-141.0
189,149.0,-141.0
190,150.0,-141.0
191,151.0,-141.0
192,152.0,-141.0
193,153.0,-141.0
194,154.0,-141.0
195,155.0,-141.0
196,156.0,-141.0
197,157.0,-141.0
198,158.0,-141.0
199,159.0,-141.0
200,160.0,-142.0
201,161.0,-142.0
202,162.0,-142.0
203,163.0,-143.0
204,164.0,-143.0
205,165.0,-143.0
206,166.0,-143.0
207,167.0,-144.0
208,168.0,-144.0
209,169.0,-145.0
210,170.0,-145.0
211,171.0,-145.0
212,172.0,-146.0
213,173.0,-146.0
214,174.0,-146.0
215,175.0,-147.0
216,175.0,-148.0
217,175.0,-149.0
218,175.0,-150.0
219,176.0,-151.0
220,177.0,-151.0
221,178.0,-151.0
222,179.0,-151.0
223,180.0,-151.0
224,181.0,-150.0
225,182.0,-150.0
226,183.0,-150.0
227,184.0,-149.0
228,185.0,-149.0
229,186.0,-149.0
230,187.0,-148.0
231,188.0,-148.0
232,189.0,-148.0
233,190.0,-147.0
234,191.0,-147.0
235,192.0,-147.0
236,193.0,-147.0
237,192.0,-147.0
238,191.0,-147.0
239,190.0,-147.0
240,189.0,-148.0
241,188.0,-148.0
242,187.0,-148.0
243,186.0,-149.0
244,185.0,-149.0
245,184.0,-149.0
246,183.0,-150.0
247,182.0,-150.0
248,181.0,-150.0
249,180.0,-151.0
250,179.0,-151.0
251,178.0,-151.0
252,177.0,-151.0
253,176.0,-151.0
254,175.0,-152.0
255,175.0,-151.0
256,176.0,-151.0
257,175.0,-150.0
258,175.0,-151.0
259,175.0,-152.0
260,175.0,-153.0
261,175.0,-154.0
262,175.0,-155.0
263,175.0,-156.0
264,175.0,-157.0
265,175.0,-158.0
266,175.0,-159.0
267,175.0,-160.0
268,175.0,-161.0
269,175.0,-162.0
270,175.0,-163.0
271,175.0,-164.0
272,175.0,-165.0
273,175.0,-166.0
274,175.0,-167.0
275,175.0,-168.0
276,175.0,-169.0
277,175.0,-170.0
278,175.0,-171.0
279,175.0,-172.0
280,175.0,-173.0
281,175.0,-174.0
282,175.0,-175.0
283,175.0,-176.0
284,175.0,-177.0
285,175.0,-178.0
286,175.0,-179.0
287,175.0,-180.0
288,175.0,-181.0
289,175.0,-182.0
290,175.0,-183.0
291,175.0,-184.0
292,175.0,-185.0
293,175.0,-186.0
294,175.0,-187.0
295,175.0,-188.0
296,175.0,-189.0
297,175.0,-190.0
298,175.0,-191.0
299,175.0,-192.0
300,175.0,-193.0
301,175.0,-194.0
302,175.0,-195.0
303,175.0,-196.0
